Size,FastClick_CPY,VPP,FastClick_OVRLY,BESS,PacketMill
64,5859861000,5797018000,8233035000,8437918000,12151570000
192,14333530000,14207780000,20247800000,20779210000,29783140000
320,22643170000,22688880000,32169990000,32885910000,47177790000
448,31092850000,31068400000,44066220000,44447580000,64483900000
576,39446800000,39427990000,55496830000,55832510000,74753480000
704,47898060000,48042930000,67286200000,67483050000,79156070000
832,56208410000,56344840000,77397460000,79289840000,82853430000
960,65081290000,64784350000,82723890000,87601270000,86538550000
1088,73391250000,73479320000,88498490000,90562670000,89093180000
1216,81809220000,81849360000,90011030000,92027660000,90922350000
1344,90321130000,90215080000,91434660000,93222760000,92016160000
1472,92989130000,93049140000,92746820000,94344250000,93055920000
1500,93211350000,93255320000,93142120000,94285160000,93193800000
